Income City,Income State,Zillow City,Zillow State
Albany city,GA,Albany,GA
Albany city,NY,Albany,NY
Albemarle city,NC,Albemarle,NC
Asheville city,NC,Asheville,NC
Athens-Clarke County unified government (balance),GA,Athens,GA
Atlanta city,GA,Atlanta,GA
Atlantic City city,NJ,Atlantic City,NJ
Auburn city,NY,Auburn,NY
Augusta-Richmond County consolidated government (balance),GA,Augusta,GA
Augusta city,ME,Augusta,ME
Baltimore city,MD,Baltimore,MD
Bangor city,ME,Bangor,ME
Barnstable Town city,MA,Barnstable Town,MA
Binghamton city,NY,Binghamton,NY
Boston city,MA,Boston,MA
Bridgeport city,CT,Bridgeport,CT
Brunswick city,GA,Brunswick,GA
Buffalo city,NY,Buffalo,NY
Burlington city,NC,Burlington,NC
California,MD,California,MD
Cape Coral city,FL,Cape Coral,FL
Charleston city,SC,Charleston,SC
Charlotte city,NC,Charlotte,NC
Charlottesville city,VA,Charlottesville,VA
Columbia city,SC,Columbia,SC
Columbus city,GA,Columbus,GA
Concord city,NH,Concord,NH
Corning city,NY,Corning,NY
Crestview city,FL,Crestview,FL
Cumberland city,MD,Cumberland,MD
Deltona city,FL,Deltona,FL
Dover city,DE,Dover,DE
Durham city,NC,Durham,NC
Elizabeth City city,NC,Elizabeth City,NC
Fayetteville city,NC,Fayetteville,NC
Florence city,SC,Florence,SC
Gainesville city,FL,Gainesville,FL
Gainesville city,GA,Gainesville,GA
Georgetown city,SC,Georgetown,SC
Goldsboro city,NC,Goldsboro,NC
Greensboro city,NC,Greensboro,NC
Greenville city,NC,Greenville,NC
Greenville city,SC,Greenville,SC
Hagerstown city,MD,Hagerstown,MD
Hartford city,CT,Hartford,CT
Hickory city,NC,Hickory,NC
Hilton Head Island town,SC,Hilton Head Island,SC
Hinesville city,GA,Hinesville,GA
Homosassa Springs,FL,Homosassa Springs,FL
Hudson city,NY,Hudson,NY
Ithaca city,NY,Ithaca,NY
Jacksonville city,FL,Jacksonville,FL
Jacksonville city,NC,Jacksonville,NC
Jamestown city,NY,Jamestown,NY
Jefferson city,GA,Jefferson,GA
Key West city,FL,Key West,FL
Kingston city,NY,Kingston,NY
LaGrange city,GA,LaGrange,GA
Lakeland city,FL,Lakeland,FL
Lewiston city,ME,Lewiston,ME
Lumberton city,NC,Lumberton,NC
Lynchburg city,VA,Lynchburg,VA
Macon-Bibb County,GA,Macon,GA
Manchester city,NH,Manchester,NH
Miami city,FL,Miami,FL
Milledgeville city,GA,Milledgeville,GA
Morehead City town,NC,Morehead City,NC
Myrtle Beach city,SC,Myrtle Beach,SC
Naples city,FL,Naples,FL
New Bern city,NC,New Bern,NC
New Haven city,CT,New Haven,CT
New York city,NY,New York,NY
North Port city,FL,North Port,FL
Norwich city,CT,Norwich,CT
Ocala city,FL,Ocala,FL
Orlando city,FL,Orlando,FL
Palatka city,FL,Palatka,FL
Palm Bay city,FL,Palm Bay,FL
Panama City city,FL,Panama City,FL
Pensacola city,FL,Pensacola,FL
Pinehurst village,NC,Pinehurst,NC
Pittsfield city,MA,Pittsfield,MA
Port St. Lucie city,FL,Port St. Lucie,FL
Portland city,ME,Portland,ME
Providence city,RI,Providence,RI
Punta Gorda city,FL,Punta Gorda,FL
Raleigh city,NC,Raleigh,NC
Richmond city,VA,Richmond,VA
Roanoke city,VA,Roanoke,VA
Rochester city,NY,Rochester,NY
Rocky Mount city,NC,Rocky Mount,NC
Rome city,GA,Rome,GA
Sanford city,NC,Sanford,NC
Savannah city,GA,Savannah,GA
Sebastian city,FL,Sebastian,FL
Sebring city,FL,Sebring,FL
Seneca city,SC,Seneca,SC
Shelby city,NC,Shelby,NC
Spartanburg city,SC,Spartanburg,SC
Springfield city,MA,Springfield,MA
St. Marys city,GA,St. Marys,GA
Statesboro city,GA,Statesboro,GA
Staunton city,VA,Staunton,VA
Sumter city,SC,Sumter,SC
Syracuse city,NY,Syracuse,NY
Tallahassee city,FL,Tallahassee,FL
Tampa city,FL,Tampa,FL
The Villages,FL,The Villages,FL
Thomasville city,GA,Thomasville,GA
Torrington city,CT,Torrington,CT
Trenton city,NJ,Trenton,NJ
Utica city,NY,Utica,NY
Valdosta city,GA,Valdosta,GA
Vineland city,NJ,Vineland,NJ
Virginia Beach city,VA,Virginia Beach,VA
Warner Robins city,GA,Warner Robins,GA
Washington town,VA,Washington,VA
Watertown city,NY,Watertown,NY
Wilmington city,NC,Wilmington,NC
Wilson city,NC,Wilson,NC
Winchester city,VA,Winchester,VA
Winston-Salem city,NC,Winston,NC
Worcester city,MA,Worcester,MA
